Timestamp,Date,Issue Key,TimeInTest,TimeInDev
1737623446.0,2025-01-23,KEY-11481,120,106
1737626917.0,2025-01-23,KEY-11467,120,981
1737367674.0,2025-01-20,KEY-11466,38,41
1737361942.0,2025-01-20,KEY-11465,32,111
1737462792.0,2025-01-21,KEY-11447,273,335
1737133570.0,2025-01-17,KEY-11429,23,1183
1737631076.0,2025-01-23,KEY-11425,114,2116
1737540353.0,2025-01-22,KEY-11420,962,3093
1737631067.0,2025-01-23,KEY-11419,72,1932
1737039541.0,2025-01-16,KEY-11417,312,1576
1737631060.0,2025-01-23,KEY-11415,2748,1276
1737540435.0,2025-01-22,KEY-11413,258,687
1736510008.0,2025-01-10,KEY-11408,17,175
1736771309.0,2025-01-13,KEY-11407,41,900
1737541245.0,2025-01-22,KEY-11405,4101,0
1737020866.0,2025-01-16,KEY-11404,27,737
1736867075.0,2025-01-14,KEY-11403,87,722
1736942551.0,2025-01-15,KEY-11402,241,2481
1737540290.0,2025-01-22,KEY-11400,4085,121
1737631054.0,2025-01-23,KEY-11399,4288,673
1737548479.0,2025-01-22,KEY-11398,551,987
1736354680.0,2025-01-08,KEY-11396,183,102
1736770775.0,2025-01-13,KEY-11395,488,235
1736771282.0,2025-01-13,KEY-11394,41,655
1737037482.0,2025-01-16,KEY-11393,1016,3329
1736258505.0,2025-01-07,KEY-11392,362,0
1736240494.0,2025-01-07,KEY-11391,62,89
1736240486.0,2025-01-07,KEY-11390,24,131
1736322719.0,2025-01-08,KEY-11389,141,27
1736244161.0,2025-01-07,KEY-11388,11,80
1736176900.0,2025-01-06,KEY-11385,46,196
1736234820.0,2025-01-07,KEY-11377,155,6352
1737028256.0,2025-01-16,KEY-11374,8579,2835
1735153865.0,2024-12-25,KEY-11373,1,1294
1736258505.0,2025-01-07,KEY-11372,157,43
1736345078.0,2025-01-08,KEY-11371,31,0
1736327112.0,2025-01-08,KEY-11370,4,636
1736177369.0,2025-01-06,KEY-11369,30,254
1736234814.0,2025-01-07,KEY-11368,6519,730
1736782642.0,2025-01-13,KEY-11367,7707,2881
1736782622.0,2025-01-13,KEY-11365,7715,2892
1734705803.0,2024-12-20,KEY-11362,7,121
1736176886.0,2025-01-06,KEY-11359,3469,1372
1735038993.0,2024-12-24,KEY-11357,1,264
1734622314.0,2024-12-19,KEY-11355,1,188
1736345071.0,2025-01-08,KEY-11352,73,924
1735208362.0,2024-12-26,KEY-11351,77,2909
1734707655.0,2024-12-20,KEY-11350,46,27
1734535205.0,2024-12-18,KEY-11349,26,51
1734509131.0,2024-12-18,KEY-11347,1,172
1736867068.0,2025-01-14,KEY-11346,1809,2361
1736257885.0,2025-01-07,KEY-11342,440,1320
1734595884.0,2024-12-19,KEY-11341,1,535
1737460414.0,2025-01-21,KEY-11339,3437,13297
1735125682.0,2024-12-25,KEY-11338,1764,1077
1737541245.0,2025-01-22,KEY-11335,4101,3300
1734531749.0,2024-12-18,KEY-11317,14,648
1735290172.0,2024-12-27,KEY-11314,1968,5355
1736335835.0,2025-01-08,KEY-11306,371,1339
1734515900.0,2024-12-18,KEY-11305,90,39
1736757200.0,2025-01-13,KEY-11304,14548,664
1734352127.0,2024-12-16,KEY-11303,2229,20
1734615089.0,2024-12-19,KEY-11302,122,3475
1734352137.0,2024-12-16,KEY-11301,2249,407
1736259064.0,2025-01-07,KEY-11299,7216,5576
1734345097.0,2024-12-16,KEY-11294,152,3883
1734335870.0,2024-12-16,KEY-11292,664,963
1733815241.0,2024-12-10,KEY-11290,552,661
1734590142.0,2024-12-19,KEY-11287,60,184
1733472287.0,2024-12-06,KEY-11284,5,658
1736253689.0,2025-01-07,KEY-11283,371,4951
1736253652.0,2025-01-07,KEY-11282,56,4637
1734535199.0,2024-12-18,KEY-11279,4214,976
1736345058.0,2025-01-08,KEY-11278,3832,390
1734004171.0,2024-12-12,KEY-11277,1129,75
1733312602.0,2024-12-04,KEY-11267,82,373
1736165499.0,2025-01-06,KEY-11253,72,177
1734599444.0,2024-12-19,KEY-11252,1992,2632
1734599437.0,2024-12-19,KEY-11251,1992,2632
1734599431.0,2024-12-19,KEY-11250,2595,4670
1733234555.0,2024-12-03,KEY-11248,47,26
1733472804.0,2024-12-06,KEY-11247,3105,1226
1737535614.0,2025-01-22,KEY-11244,17450,6716
1734004180.0,2024-12-12,KEY-11236,286,347
1736785820.0,2025-01-13,KEY-11234,25,11374
1733904544.0,2024-12-11,KEY-11232,9,1318
1733234941.0,2024-12-03,KEY-11225,279,1967
1734004191.0,2024-12-12,KEY-11224,600,538
1732806074.0,2024-11-28,KEY-11223,549,1415
1732535176.0,2024-11-25,KEY-11218,7,1765
1732535171.0,2024-11-25,KEY-11217,400,1948
1734004201.0,2024-12-12,KEY-11214,1393,56
1732547109.0,2024-11-25,KEY-11211,2299,767
1736926124.0,2025-01-15,KEY-11209,9598,6463
1734084029.0,2024-12-13,KEY-11208,8950,4951
1733475415.0,2024-12-06,KEY-11206,4353,1249
1733391896.0,2024-12-05,KEY-11194,1018,2312
1731671495.0,2024-11-15,KEY-11192,232,2358
1731919828.0,2024-11-18,KEY-11191,2018,0
1734590374.0,2024-12-19,KEY-11190,2375,3439
1737541245.0,2025-01-22,KEY-11189,711,17926
1734615580.0,2024-12-19,KEY-11187,27,6464
1731479908.0,2024-11-13,KEY-11182,674,0
1732113256.0,2024-11-20,KEY-11181,2366,568
1731479893.0,2024-11-13,KEY-11179,1218,102
1731487959.0,2024-11-13,KEY-11178,1040,993
1733304303.0,2024-12-04,KEY-11177,9858,1011
1732806068.0,2024-11-28,KEY-11176,2,0
1731479854.0,2024-11-13,KEY-11173,1320,660
1731405665.0,2024-11-12,KEY-11172,1320,592
1733820057.0,2024-12-10,KEY-11170,5981,1682
1733140282.0,2024-12-02,KEY-11167,634,1551
1732707607.0,2024-11-27,KEY-11165,661,879
1731056334.0,2024-11-08,KEY-11158,1,2018
1731569052.0,2024-11-14,KEY-11150,513,5306
